"cell","Area","X","Y","Perim.","Major","Minor","Angle","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
161,0,22.789,38.25,0,0.015,0.015,0,0,0,1732,2907,0,0,0,0,NA
162,1.229,0,0,4.243,1.611,0.971,58.826,0.858,1.709,1861,3058,60.474,0.976,1.659,0.603,0.999
163,0,27.474,38.289,0,0.015,0.015,0,0,0,2088,2910,0,0,0,0,NA
164,0,29.868,38.211,0,0.015,0.015,0,0,0,2270,2904,0,0,0,0,NA
165,0,31.763,38.105,0,0.015,0.015,0,0,0,2414,2896,0,0,0,0,NA
166,0,8.421,41,0,0.015,0.015,0,0,0,640,3116,0,0,0,0,NA
167,0,10.684,40.789,0,0.015,0.015,0,0,0,812,3100,0,0,0,0,NA
168,0,13,40.947,0,0.015,0.015,0,0,0,988,3112,0,0,0,0,NA
169,0,15.211,41.053,0,0.015,0.015,0,0,0,1156,3120,0,0,0,0,NA
170,0,17.684,40.947,0,0.015,0.015,0,0,0,1344,3112,0,0,0,0,NA
171,0,20.316,40.895,0,0.015,0.015,0,0,0,1544,3108,0,0,0,0,NA
172,0,22.842,40.842,0,0.015,0.015,0,0,0,1736,3104,0,0,0,0,NA
173,2.07,0,0,5.497,2.117,1.245,48.835,0.861,2.226,1791,3233,42.365,1.272,1.7,0.588,0.997
174,0.714,0,0,3.445,1.388,0.655,57.237,0.756,1.489,2034,3184,56.17,0.662,2.118,0.472,1
175,1.727,0,0,5.13,2.036,1.08,179.819,0.825,2.152,2290,3086,4.56,1.109,1.885,0.531,1
176,0,32.447,40.908,0,0.015,0.015,0,0,0,2466,3109,0,0,0,0,NA
177,0,8.316,43.053,0,0.015,0.015,0,0,0,632,3272,0,0,0,0,NA
178,1.382,0,0,4.39,1.603,1.097,120.931,0.901,1.717,814,3319,120.888,1.125,1.461,0.685,0.998
179,1.771,0,0,5.215,2.021,1.116,171.61,0.818,2.176,1023,3349,170.253,1.16,1.811,0.552,0.988
180,0.648,0,0,3.148,1.231,0.67,154.07,0.822,1.267,1208,3303,145.154,0.727,1.837,0.544,0.986
181,0,17.737,43.316,0,0.015,0.015,0,0,0,1348,3292,0,0,0,0,NA
182,0,20.539,43.276,0,0.015,0.015,0,0,0,1561,3289,0,0,0,0,NA
183,0.944,0,0,3.701,1.292,0.93,61.099,0.866,1.416,1659,3362,52.172,0.967,1.389,0.72,0.992
184,1.217,0,0,4.191,1.581,0.98,108.238,0.871,1.669,1934,3285,108.864,1.017,1.613,0.62,0.994
185,0.487,0,0,2.602,0.952,0.651,125.52,0.904,1.011,2131,3295,128.66,0.661,1.461,0.684,0.997
186,0.901,0,0,3.628,1.317,0.872,53.092,0.861,1.443,2283,3260,43.152,0.898,1.511,0.662,0.991
187,0,31.934,42.684,0,0.015,0.015,0,0,0,2427,3244,0,0,0,0,NA
188,0,8.316,45.842,0,0.015,0.015,0,0,0,632,3484,0,0,0,0,NA
