"cell","Area","X","Y","Perim.","Major","Minor","Angle","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
364,0,8.997,33.791,0,0.015,0.015,0,0,0,684,2569,0,0,0,0,NA
365,0,11.47,33.791,0,0.015,0.015,0,0,0,872,2569,0,0,0,0,NA
366,0.992,0,0,3.888,1.529,0.825,79.339,0.824,1.617,1030,2572,82.991,0.816,1.853,0.54,0.998
367,0.344,0,0,2.283,0.884,0.495,95.144,0.829,0.934,1218,2487,90.807,0.517,1.787,0.559,0.997
368,1.343,0,0,4.544,1.812,0.944,29.321,0.817,1.906,1243,2656,26.211,0.985,1.921,0.521,0.999
369,0,20.927,33.949,0,0.015,0.015,0,0,0,1591,2581,0,0,0,0,NA
370,1.343,0,0,4.501,1.785,0.958,132.383,0.833,1.861,1794,2549,128.976,0.989,1.863,0.537,1
371,0,25.899,33.936,0,0.015,0.015,0,0,0,1969,2580,0,0,0,0,NA
372,0,28.069,33.857,0,0.015,0.015,0,0,0,2134,2574,0,0,0,0,NA
373,1.279,0,0,4.168,1.51,1.079,179.579,0.925,1.588,2358,2553,6.183,1.092,1.4,0.714,1
374,0,32.568,34.159,0,0.015,0.015,0,0,0,2476,2597,0,0,0,0,NA
375,0,8.997,36.461,0,0.015,0.015,0,0,0,684,2772,0,0,0,0,NA
376,0,11.47,36.408,0,0.015,0.015,0,0,0,872,2768,0,0,0,0,NA
377,0.779,0,0,3.221,1.096,0.905,135.74,0.944,1.121,1034,2854,148.921,0.888,1.211,0.826,0.994
378,1.503,0,0,4.728,1.876,1.021,125.069,0.845,1.942,1237,2746,125.628,1.028,1.838,0.544,0.999
379,0,18.441,36.461,0,0.015,0.015,0,0,0,1402,2772,0,0,0,0,NA
380,0,20.94,36.435,0,0.015,0.015,0,0,0,1592,2770,0,0,0,0,NA
381,1.795,0,0,5.083,1.891,1.209,53.819,0.873,2.04,1811,2763,54.978,1.275,1.564,0.639,0.997
382,0,25.596,36.527,0,0.015,0.015,0,0,0,1946,2777,0,0,0,0,NA
383,0.607,0,0,3.062,1.188,0.651,159.481,0.814,1.259,2190.5,2777.5,153.301,0.671,1.825,0.548,0.995
384,0,30.542,36.382,0,0.015,0.015,0,0,0,2322,2766,0,0,0,0,NA
385,0,32.647,36.33,0,0.015,0.015,0,0,0,2482,2762,0,0,0,0,NA
386,0,9.155,38.723,0,0.015,0.015,0,0,0,696,2944,0,0,0,0,NA
387,0,11.312,38.829,0,0.015,0.015,0,0,0,860,2952,0,0,0,0,NA
388,0,13.732,39.092,0,0.015,0.015,0,0,0,1044,2972,0,0,0,0,NA
389,0,15.942,38.881,0,0.015,0.015,0,0,0,1212,2956,0,0,0,0,NA
390,0,18.467,38.934,0,0.015,0.015,0,0,0,1404,2960,0,0,0,0,NA
391,0.779,0,0,3.334,1.274,0.778,161.889,0.88,1.324,1560,3010,164.445,0.796,1.637,0.611,0.999
392,0.857,0,0,3.676,1.457,0.748,64.248,0.797,1.564,1819,2975,70.346,0.774,1.947,0.513,0.996
393,0,25.702,38.921,0,0.015,0.015,0,0,0,1954,2959,0,0,0,0,NA
394,1.005,0,0,3.816,1.46,0.876,17.085,0.867,1.535,2167,2949,12.369,0.909,1.666,0.6,0.994
395,1.148,0,0,4.141,1.602,0.913,51.331,0.841,1.693,2361,2935,46.259,0.961,1.755,0.57,1.001
396,0,32.62,38.46,0,0.015,0.015,0,0,0,2480,2924,0,0,0,0,NA
397,0,9.418,41.301,0,0.015,0.015,0,0,0,716,3140,0,0,0,0,NA
398,0.375,0,0,2.308,0.884,0.54,142.606,0.885,0.912,791,3074,136.169,0.532,1.636,0.611,0.998
399,0,13.811,41.472,0,0.015,0.015,0,0,0,1050,3153,0,0,0,0,NA
400,0,15.889,41.538,0,0.015,0.015,0,0,0,1208,3158,0,0,0,0,NA
401,0.684,0,0,3.213,1.249,0.698,23.339,0.833,1.327,1425,3184,19.692,0.733,1.79,0.559,0.993
402,0,20.835,41.446,0,0.015,0.015,0,0,0,1584,3151,0,0,0,0,NA
403,0,23.387,41.42,0,0.015,0.015,0,0,0,1778,3149,0,0,0,0,NA
404,0,25.899,41.288,0,0.015,0.015,0,0,0,1969,3139,0,0,0,0,NA
405,0,28.109,41.565,0,0.015,0.015,0,0,0,2137,3160,0,0,0,0,NA
406,1.034,0,0,3.895,1.504,0.875,20.043,0.856,1.547,2326,3148,27.872,0.891,1.719,0.582,0.994
407,0,32.489,41.315,0,0.015,0.015,0,0,0,2470,3141,0,0,0,0,NA
408,0,9.049,43.88,0,0.015,0.015,0,0,0,688,3336,0,0,0,0,NA
409,0,11.575,44.143,0,0.015,0.015,0,0,0,880,3356,0,0,0,0,NA
410,0,13.679,43.669,0,0.015,0.015,0,0,0,1040,3320,0,0,0,0,NA
411,0.695,0,0,3.295,1.248,0.709,54.948,0.804,1.387,1158,3462,51.934,0.733,1.76,0.568,0.988
412,1.753,0,0,5.211,2.063,1.082,179.672,0.811,2.187,1457,3292,176.553,1.098,1.907,0.524,0.999
413,0,21.151,44.09,0,0.015,0.015,0,0,0,1608,3352,0,0,0,0,NA
414,0,23.163,43.932,0,0.015,0.015,0,0,0,1761,3340,0,0,0,0,NA
415,0,25.649,43.972,0,0.015,0.015,0,0,0,1950,3343,0,0,0,0,NA
416,0,27.819,43.853,0,0.015,0.015,0,0,0,2115,3334,0,0,0,0,NA
417,0,29.99,43.893,0,0.015,0.015,0,0,0,2280,3337,0,0,0,0,NA
418,0,32.555,43.695,0,0.015,0.015,0,0,0,2475,3322,0,0,0,0,NA
419,0,9.313,46.3,0,0.015,0.015,0,0,0,708,3520,0,0,0,0,NA
420,0,10.97,46.458,0,0.015,0.015,0,0,0,834,3532,0,0,0,0,NA
421,0,13.574,46.418,0,0.015,0.015,0,0,0,1032,3529,0,0,0,0,NA
422,0.436,0,0,2.418,0.869,0.638,18.166,0.936,0.893,1128.5,3558,16.699,0.641,1.362,0.734,1.002
423,0,18.349,46.576,0,0.015,0.015,0,0,0,1395,3541,0,0,0,0,NA
424,0,21.111,46.655,0,0.015,0.015,0,0,0,1605,3547,0,0,0,0,NA
425,0,23.281,46.339,0,0.015,0.015,0,0,0,1770,3523,0,0,0,0,NA
426,0,26.044,46.576,0,0.015,0.015,0,0,0,1980,3541,0,0,0,0,NA
427,1.027,0,0,3.947,1.575,0.83,70.534,0.828,1.639,2087,3668,71.274,0.841,1.897,0.527,1
428,0,30.226,46.418,0,0.015,0.015,0,0,0,2298,3529,0,0,0,0,NA
429,0,32.397,46.181,0,0.015,0.015,0,0,0,2463,3511,0,0,0,0,NA
430,0,8.944,48.667,0,0.015,0.015,0,0,0,680,3700,0,0,0,0,NA
431,0,11.47,48.983,0,0.015,0.015,0,0,0,872,3724,0,0,0,0,NA
432,0,13.469,48.983,0,0.015,0.015,0,0,0,1024,3724,0,0,0,0,NA
433,0,16.31,49.036,0,0.015,0.015,0,0,0,1240,3728,0,0,0,0,NA
434,0,18.625,48.878,0,0.015,0.015,0,0,0,1416,3716,0,0,0,0,NA
435,0,21.045,48.825,0,0.015,0.015,0,0,0,1600,3712,0,0,0,0,NA
436,0,23.308,48.878,0,0.015,0.015,0,0,0,1772,3716,0,0,0,0,NA
437,0,25.675,48.878,0,0.015,0.015,0,0,0,1952,3716,0,0,0,0,NA
438,0,28.201,48.878,0,0.015,0.015,0,0,0,2144,3716,0,0,0,0,NA
439,0,30.095,48.773,0,0.015,0.015,0,0,0,2288,3708,0,0,0,0,NA
440,0,32.305,48.72,0,0.015,0.015,0,0,0,2456,3704,0,0,0,0,NA
