"cell","X","Y"
320,186.5,151.5
321,174.833,154.5
322,161.5,151.5
323,148.833,153.167
324,132.5,155.5
325,116.5,163.5
326,104.167,160.167
327,100.167,151.5
328,87.833,151.167
329,67.833,158.167
330,60.833,153.5
331,181.833,131.5
332,178.5,147.833
333,159.833,140.5
334,148.5,140.167
335,131.833,143.167
336,116.833,136.833
337,107.833,139.833
338,93.5,142.167
339,79.167,139.5
340,70.833,139.167
341,59.833,137.833
342,187.167,124.167
343,172.167,124.167
344,162.833,124.5
345,147.167,132.167
346,135.167,132.833
347,115.833,124.5
348,108.5,127.5
349,94.833,126.5
350,82.833,126.167
351,71.5,125.833
352,59.167,123.167
353,186.833,112.5
354,178.833,118.167
355,160.833,113.167
356,145.167,113.833
357,130.5,112.167
358,120.167,116.5
359,101.167,112.833
360,93.833,114.5
361,82.5,112.5
362,70.167,112.833
363,57.5,114.167
364,186.833,98.167
365,174.833,98.833
366,161.5,101.5
367,148.167,99.5
368,138.5,96.833
369,121.833,98.833
370,104.833,99.5
371,94.5,98.5
372,81.5,99.167
373,63.833,101.833
374,58.167,95.167
375,186.5,82.833
376,174.833,84.833
377,158.5,77.167
378,143.5,84.167
379,131.833,85.167
380,120.5,86.167
381,103.167,88.833
382,93.833,85.833
383,78.833,84.833
384,70.5,86.833
385,57.5,85.167
386,186.167,69.833
387,172.5,70.833
388,160.167,67.167
389,148.5,70.5
390,138.167,70.167
391,121.833,68.5
392,104.167,73.5
393,96.5,70.5
394,78.5,74.167
395,71.167,68.167
396,58.833,72.5
397,186.167,57.167
398,175.833,57.167
399,161.5,57.5
400,149.5,55.833
401,130.833,56.833
402,119.5,56.5
403,106.167,57.167
404,95.833,56.167
405,82.5,56.833
406,67.167,59.833
407,59.833,57.833
408,187.833,41.833
409,173.5,42.833
410,160.5,42.833
411,147.5,40.167
412,125.167,48.5
413,119.833,43.5
414,106.5,44.167
415,97.5,44.5
416,82.5,45.5
417,72.833,45.833
418,61.5,44.833
419,186.833,32.167
420,174.833,31.167
421,159.5,29.5
422,151.5,28.833
423,132.833,29.5
424,119.5,29.5
425,107.5,29.833
426,95.167,30.167
427,84.5,27.167
428,70.5,30.833
429,58.167,31.5
430,187.833,15.5
431,174.167,17.167
432,161.167,15.5
433,147.5,16.5
434,133.167,17.167
435,121.167,16.833
436,108.833,17.167
437,94.833,15.833
438,84.167,16.5
439,70.167,18.167
440,60.167,16.833
