"id","site","family","region","group"
"4343","20","furnace north","DV","early_nonsurvivor"
"4351","36","havasu","outside","early_nonsurvivor"
"4371","27","beatty","perimeter","early_nonsurvivor"
"4377","31","borregosprings","outside","early_nonsurvivor"
"4378","38","bullhead city","outside","late_nonsurvivor"
"4385","13","hw127","perimeter","early_nonsurvivor"
"4392","33","blythe","outside","early_nonsurvivor"
"4394","15","hw190 east","perimeter","early_nonsurvivor"
"4395","15","hw190 east","perimeter","early_nonsurvivor"
"4402","16","hw190 west","perimeter","early_nonsurvivor"
"4403","15","hw190 east","perimeter","early_nonsurvivor"
"4405","17","furnace south","DV","early_nonsurvivor"
"4408","31","borregosprings","outside","survivor"
"4409","27","beatty","perimeter","early_nonsurvivor"
"4410","20","furnace north","DV","early_nonsurvivor"
"4413","17","furnace south","DV","early_nonsurvivor"
"4420","32","salton city","outside","early_nonsurvivor"
"4430","37","pht","outside","early_nonsurvivor"
"4431","33","blythe","outside","early_nonsurvivor"
"4439","39","lake mead","outside","early_nonsurvivor"
"4443","1","spring meadows","perimeter","early_nonsurvivor"
"4488","37","pht","outside","early_nonsurvivor"
"4499","25","panamint","perimeter","early_nonsurvivor"
"4500","23","stovepipe","DV","early_nonsurvivor"
"4501","27","beatty","perimeter","early_nonsurvivor"
"4502","19","furnace north","DV","early_nonsurvivor"
