"cell","R","G","B","sum_rgb","green_ratio","excess_green","G_minus_R","G_minus_B"
113,145.733,142.115,126.332,414.18,0.343123762615288,12.165,-3.618,15.783
114,148.9,151.072,139.856,439.828,0.343479723892067,13.388,2.172,11.216
116,132.8,132.759,118.872,384.431,0.345338955495264,13.846,-0.0410000000000252,13.887
117,115.533,111.789,106.99,334.312,0.334385244920912,1.05500000000001,-3.744,4.79900000000001
118,132.918,125.679,114.22,372.817,0.337106408774278,4.22,-7.239,11.459
119,155.219,151.405,131.527,438.151,0.345554386501457,16.064,-3.81399999999999,19.878
120,140.914,131.211,114.466,386.591,0.33940521119219,7.04200000000004,-9.70299999999997,16.745
123,149.163,143.136,119.212,411.511,0.347830313162953,17.897,-6.02700000000002,23.924
124,140.053,133.52,127.137,400.71,0.333208554815203,-0.149999999999977,-6.53299999999999,6.38300000000001
125,144.587,137.914,124.899,407.4,0.338522336769759,6.34199999999998,-6.673,13.015
126,139.439,141.785,127.076,408.3,0.347256918932158,17.055,2.346,14.709
127,129.451,120.242,114.694,364.387,0.329984329847113,-3.66099999999999,-9.20899999999999,5.548
130,138.391,137.117,120.376,395.884,0.346356508472179,15.467,-1.274,16.741
134,120.642,118.251,109.944,348.837,0.338986403391842,5.91600000000001,-2.39099999999999,8.307
135,144.278,137.357,133.342,414.977,0.330999067418194,-2.90600000000001,-6.92099999999999,4.01499999999999
136,138.544,136.954,129.989,405.487,0.337751888469914,5.375,-1.59,6.965
138,143.376,143.292,127.731,414.399,0.345782687699536,15.477,-0.0840000000000032,15.561
139,132.269,127.988,123.537,383.794,0.333480981985127,0.169999999999987,-4.28100000000001,4.45099999999999
141,139.51,134.133,119.625,393.268,0.34107275445752,9.13100000000003,-5.37699999999998,14.508
142,126.879,120.174,116.83,363.883,0.330254504882064,-3.36099999999999,-6.705,3.34400000000001
146,130.778,121.296,121.075,373.149,0.325060498621194,-9.26099999999998,-9.48199999999999,0.221000000000004
147,134.056,128.859,118.636,381.551,0.3377241836609,5.02600000000001,-5.197,10.223
149,120.7,120.239,110.581,351.52,0.342054506144743,9.197,-0.460999999999999,9.658
151,145.202,143.689,127.065,415.956,0.345442787217879,15.111,-1.51300000000001,16.624
152,126.08,118.544,111.481,356.105,0.332890580025554,-0.472999999999999,-7.536,7.063
156,132.408,126.688,119.538,378.634,0.334592244753509,1.43000000000002,-5.71999999999998,7.15000000000001
157,135.514,131.814,120.215,387.543,0.340127418118764,7.89899999999997,-3.70000000000002,11.599
159,145.993,142.709,130.711,419.413,0.340258885633016,8.714,-3.28399999999999,11.998
160,119.795,104.564,96.32,320.679,0.32607061890551,-6.98700000000001,-15.231,8.244
162,123.867,114.61,104.563,343.04,0.334100979477612,0.789999999999992,-9.257,10.047
173,126.026,122.171,112.05,360.247,0.339131207199505,6.26600000000002,-3.85499999999999,10.121
174,129.423,128.084,114.122,371.629,0.344655557020577,12.623,-1.339,13.962
175,132.809,130.484,116.9,380.193,0.34320463554037,11.259,-2.32499999999999,13.584
178,113.143,112.434,99.902,325.479,0.345441641396219,11.823,-0.709000000000003,12.532
179,112.796,108.957,104.828,326.581,0.333629329324119,0.289999999999978,-3.83900000000001,4.12899999999999
180,124,109.415,108.298,341.713,0.320195602742652,-13.468,-14.585,1.117
183,124.053,122.474,116.051,362.578,0.337786627980738,4.84400000000001,-1.57899999999999,6.423
184,129.365,122.378,111.867,363.61,0.336563900882814,3.52399999999999,-6.98700000000001,10.511
185,132.282,119.48,97.131,348.893,0.342454563433488,9.547,-12.802,22.349
186,128.081,122.68,113.055,363.816,0.337203421509774,4.22400000000002,-5.40099999999998,9.625
190,116.382,104.685,102.037,323.104,0.32399784589482,-9.04900000000001,-11.697,2.648
192,123.749,120.392,106.072,350.213,0.34376793551353,10.963,-3.357,14.32
193,108.844,107.4,96.761,313.005,0.34312550917717,9.19500000000002,-1.44399999999999,10.639
194,129.419,128.255,116.118,373.792,0.343118632822532,10.973,-1.16400000000002,12.137
197,118.297,109.413,109.199,336.909,0.324755349367337,-8.67,-8.884,0.213999999999999
200,112.019,106.274,94.961,313.254,0.33925823772402,5.568,-5.745,11.313
203,115.545,119.344,102.685,337.574,0.353534336175179,20.458,3.79899999999999,16.659
204,108.577,110.755,94.998,314.33,0.352352623039481,17.935,2.178,15.757
