tray,row,col,cell,notes,si,site,individual,id,d23T,d23C,d22T,d22C,d21T,d21C,d20T,d20C,d19T,d19C,d18T,d18C,d17T,d17C,d16T,d16C,d15T,d15C,d14T,d14C,dx,dx
1,5,6,50,,S14I3,14,3,4859,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,5,7,51,,S1I4,1,4,4860,4,4,4,4,4,2,3,1,2,1,0,0,0,0,0,0,0,0,0,0,,
1,5,8,52,,S1I2,1,2,4861,2,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,,
1,5,9,53,,S15I2,15,2,4862,4,4,4,4,4,4,4,4,4,4,2,2,1,1,1,1,1,1,0,0,,
1,5,10,54,,S1I11,1,11,4863,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,5,11,55,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,1,56,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,2,57,D2,S15I2,15,2,4864,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,6,3,58,,S15I5,15,5,4865,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,6,4,59,D2,S14I1,14,1,4866,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,6,5,60,,S1I11,1,11,4867,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,6,6,61,,S15I2,15,2,4868,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,6,7,62,D2,S13I2,13,2,4869,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,6,8,63,,S1I2,1,2,4870,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,6,9,64,D2,S15I5,15,5,4871,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,6,10,65,D2,S14I2,14,2,4872,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,6,11,66,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,7,1,67,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,7,2,68,,S1I2,1,2,4873,4,4,4,4,4,4,4,3,3,3,1,1,0,0,0,0,0,0,0,0,,
1,7,3,69,,S13I2,13,2,4874,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,7,4,70,,S14I4,14,4,4875,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,7,5,71,,S15I2,15,2,4876,4,4,4,4,4,4,4,4,3,3,1,1,1,1,0,0,0,0,0,0,,
1,7,6,72,,S15I5,15,5,4877,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,7,7,73,small,S13I1,13,1,4878,3,4,2,2,2,2,2,2,1,1,1,2,1,2,1,2,1,2,0,0,,
1,7,8,74,,S1I4,1,4,4879,4,4,4,4,4,4,4,4,2,2,1,1,0,0,0,0,0,0,0,0,,
1,7,9,75,,S15I4,15,4,4880,4,4,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,,
1,7,10,76,D2,S1I4,1,4,4881,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,7,11,77,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,8,1,78,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,8,2,79,small,S13I1,13,1,4882,4,4,4,4,4,4,4,4,4,3,4,2,3,2,1,1,1,0,0,0,,
1,8,3,80,,S1I7,1,7,4883,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,8,4,81,,S1I11,1,11,4884,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,8,5,82,,S15I4,15,4,4885,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,8,6,83,D2,S15I2,15,2,4886,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,8,7,84,,S14I3,14,3,4887,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,8,8,85,,S1I2,1,2,4888,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,8,9,86,D2,S1I11,1,11,4889,4,4,3,3,2,3,2,2,2,2,1,1,1,0,1,0,1,0,0,0,,
1,8,10,87,,S13I2,13,2,4890,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,8,11,88,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,9,1,89,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,9,2,90,,S1I2,1,2,4891,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,9,3,91,,S13I1,13,1,4892,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,,
1,9,4,92,,S1I11,1,11,4893,4,4,4,4,4,2,4,1,4,1,4,0,4,0,4,0,1,0,0,0,,
1,9,5,93,,S1I11,1,11,4894,2,2,2,2,2,2,1,1,1,1,0,1,0,1,0,1,0,0,0,0,,
1,9,6,94,,S15I5,15,5,4895,4,2,4,2,4,2,4,2,4,2,3,1,2,0,2,0,0,0,0,0,,
1,9,7,95,,S13I2,13,2,4896,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,1,0,0,0,,
1,9,8,96,,S15I5,15,5,4897,4,4,4,4,2,2,2,2,1,1,1,1,0,1,0,0,0,0,0,0,,
1,9,9,97,,S1I2,1,2,4898,4,4,4,4,4,3,4,2,4,3,2,1,3,1,3,0,1,1,0,0,,
1,9,10,98,,S15I4,15,4,4899,4,4,4,4,4,4,2,2,2,2,1,1,0,0,0,0,0,0,0,0,,
1,9,11,99,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,1,100,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,2,101,,S1I6,1,6,4900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,10,3,102,,S1I11,1,11,4901,4,4,4,4,4,4,2,3,2,2,1,1,1,1,1,1,0,0,0,0,,
1,10,4,103,,S15I2,15,2,4902,4,4,4,4,4,4,4,4,3,3,2,2,2,1,1,0,0,0,0,0,,
1,10,5,104,,S15I4,15,4,4903,4,4,4,4,4,4,4,2,2,2,1,1,1,1,1,0,0,0,0,0,,
1,10,6,105,,S1I4,1,4,4904,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,10,7,106,,S13I2,13,2,4905,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,10,8,107,,S15I4,15,4,4906,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,10,9,108,,S15I2,15,2,4907,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,10,10,109,D2,S14I5,14,5,4908,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,10,11,110,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,11,1,111,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,11,2,112,,S13I1,13,1,4909,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,11,3,113,,S1I11,1,11,4910,4,4,4,4,4,4,4,4,4,4,4,1,4,0,4,0,4,0,0,0,,
1,11,4,114,,S1I6,1,6,4911,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,11,5,115,D2,S13I2,13,2,4912,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,1,1,0,0,0,,
1,11,6,116,,S15I2,15,2,4913,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,,
1,11,7,117,d9 too small,S13I2,13,2,4914,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,11,8,118,,S1I11,1,11,4915,4,4,4,4,4,2,4,2,4,2,3,2,1,0,0,0,1,1,0,0,,
1,11,9,119,,S1I11,1,11,4916,4,4,2,2,2,4,2,2,1,1,1,1,1,0,1,0,0,0,0,0,,
1,11,10,120,,S15I2,15,2,4917,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,11,11,121,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,12,1,122,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
