"","id","cell","tray","row","col","si","site","individual","d9","d13","family","where","time_to_one","time_to_two","time_to_three","time_to_four","time_to_four_adj","fustat","day_sum","dead_count","experiment"
"50","4897",96,"1","9","8","S15I5","15","5","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"51","4898",97,"1","9","9","S1I2","1","2","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"52","4899",98,"1","9","10","S15I4","15","4","5","0","hw190 east","DV",NA,NA,NA,NA,NA,0,3,0,20250922
"53","4901",102,"1","10","3","S1I11","1","11","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"54","4902",103,"1","10","4","S15I2","15","2","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"55","4903",104,"1","10","5","S15I4","15","4","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"56","4904",105,"1","10","6","S1I4","1","4","0","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,4,0,20250922
"57","4905",106,"1","10","7","S13I2","13","2","0","0","hw127","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"58","4907",108,"1","10","9","S15I2","15","2","5","5","hw190 east","DV",NA,NA,NA,NA,NA,0,5,0,20250922
"59","4910",113,"1","11","3","S1I11","1","11","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"60","4912",115,"1","11","5","S13I2","13","2","0","0","hw127","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"61","4913",116,"1","11","6","S15I2","15","2","5","0","hw190 east","DV",NA,NA,NA,NA,NA,0,3,0,20250922
"62","4914",117,"1","11","7","S13I2","13","2","0","5","hw127","perimeter",NA,NA,NA,NA,NA,0,4,0,20250922
"63","4915",118,"1","11","8","S1I11","1","11","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"64","4916",119,"1","11","9","S1I11","1","11","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"65","4917",120,"1","11","10","S15I2","15","2","5","5","hw190 east","DV",NA,NA,NA,NA,NA,0,5,0,20250922
"66","4919",124,"1","12","3","S15I5","15","5","0","5","hw190 east","DV",NA,NA,NA,NA,NA,0,4,0,20250922
"67","4920",125,"1","12","4","S13I1","13","1","0","0","hw127","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"68","4922",127,"1","12","6","S1I11","1","11","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"69","4923",128,"1","12","7","S1I8","1","8","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"70","4924",129,"1","12","8","S15I4","15","4","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"71","4925",130,"1","12","9","S1I2","1","2","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"72","4926",131,"1","12","10","S15I2","15","2","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"73","4928",135,"1","13","3","S1I7","1","7","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"74","4931",138,"1","13","6","S15I5","15","5","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"75","4933",140,"1","13","8","S13I2","13","2","5","5","hw127","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"76","4934",141,"1","13","9","S14I6","14","6","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"77","4936",145,"1","14","2","S1I6","1","6","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"78","4937",146,"1","14","3","S15I4","15","4","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"79","4938",147,"1","14","4","S1I11","1","11","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"80","4939",148,"1","14","5","S14I6","14","6","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"81","4940",149,"1","14","6","S15I5","15","5","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"82","4941",150,"1","14","7","S15I2","15","2","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"83","4942",151,"1","14","8","S13I1","13","1","0","0","hw127","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"84","4943",152,"1","14","9","S15I4","15","4","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"85","4945",156,"1","15","2","S1I8","1","8","0","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,4,0,20250922
"86","4947",158,"1","15","4","S1I11","1","11","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"87","4952",163,"1","15","9","S1I8","1","8","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"88","4954",167,"1","16","2","S13I1","13","1","0","0","hw127","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"89","4955",168,"1","16","3","S15I2","15","2","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"90","4957",170,"1","16","5","S15I2","15","2","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"91","4958",171,"1","16","6","S14I4","14","4","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"92","4959",172,"1","16","7","S1I2","1","2","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"93","4960",173,"1","16","8","S15I2","15","2","5","5","hw190 east","DV",NA,NA,NA,NA,NA,0,5,0,20250922
"94","4961",174,"1","16","9","S14I1","14","1","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"95","4963",178,"1","17","2","S13I2","13","2","0","0","hw127","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"96","4964",179,"1","17","3","S14I4","14","4","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"97","4965",180,"1","17","4","S15I4","15","4","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"98","4966",181,"1","17","5","S15I2","15","2","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"99","4967",182,"1","17","6","S14I1","14","1","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"100","4968",183,"1","17","7","S14I1","14","1","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"101","4969",184,"1","17","8","S15I4","15","4","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"102","4970",185,"1","17","9","S14I3","14","3","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"103","4974",191,"1","18","4","S1I2","1","2","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
